doy,sun_up,med_flip,sun_down,min_alt
145,06:40:00,12:28:00,18:06:00,15
146,06:39:00,12:28:00,18:06:00,15
147,06:39:00,12:28:00,18:07:00,15
148,06:39:00,12:28:00,18:08:00,15
149,06:38:00,12:28:00,18:08:00,15
150,06:38:00,12:28:00,18:09:00,15
151,06:38:00,12:28:00,18:09:00,15
152,06:38:00,12:29:00,18:10:00,15
153,06:37:00,12:29:00,18:10:00,15
154,06:37:00,12:29:00,18:11:00,15
155,06:37:00,12:29:00,18:11:00,15
156,06:37:00,12:29:00,18:12:00,15
157,06:37:00,12:29:00,18:12:00,15
158,06:37:00,12:30:00,18:13:00,15
159,06:37:00,12:30:00,18:13:00,15
160,06:37:00,12:30:00,18:13:00,15
161,06:37:00,12:30:00,18:14:00,15
162,06:37:00,12:30:00,18:14:00,15
163,06:37:00,12:31:00,18:15:00,15
164,06:37:00,12:31:00,18:15:00,15
165,06:37:00,12:31:00,18:15:00,15
166,06:37:00,12:31:00,18:16:00,15
167,06:37:00,12:31:00,18:16:00,15
168,06:37:00,12:32:00,18:16:00,15
169,06:37:00,12:32:00,18:16:00,15
170,06:37:00,12:32:00,18:17:00,15
171,06:37:00,12:32:00,18:17:00,15
172,06:38:00,12:32:00,18:17:00,15
173,06:38:00,12:33:00,18:17:00,15
174,06:38:00,12:33:00,18:18:00,15
175,06:38:00,12:33:00,18:18:00,15
176,06:39:00,12:33:00,18:18:00,15
177,06:39:00,12:34:00,18:18:00,15
178,06:39:00,12:34:00,18:18:00,15
179,06:40:00,12:34:00,18:18:00,15
180,06:40:00,12:34:00,18:18:00,15
181,06:40:00,12:34:00,18:18:00,15
182,06:41:00,12:35:00,18:18:00,15
183,06:41:00,12:35:00,18:18:00,15
184,06:41:00,12:35:00,18:18:00,15
185,06:42:00,12:35:00,18:18:00,15
186,06:42:00,12:35:00,18:18:00,15
187,06:43:00,12:35:00,18:18:00,15
188,06:43:00,12:36:00,18:18:00,15
189,06:44:00,12:36:00,18:18:00,15
190,06:44:00,12:36:00,18:18:00,15
191,06:44:00,12:36:00,18:17:00,15
192,06:45:00,12:36:00,18:17:00,15
193,06:45:00,12:36:00,18:17:00,15
194,06:46:00,12:36:00,18:17:00,15
195,06:46:00,12:37:00,18:16:00,15
196,06:47:00,12:37:00,18:16:00,15
197,06:48:00,12:37:00,18:16:00,15
198,06:48:00,12:37:00,18:15:00,15
199,06:49:00,12:37:00,18:15:00,15
200,06:49:00,12:37:00,18:15:00,15
201,06:50:00,12:37:00,18:14:00,15
202,06:50:00,12:37:00,18:14:00,15
203,06:51:00,12:37:00,18:13:00,15
204,06:51:00,12:37:00,18:13:00,15
205,06:52:00,12:37:00,18:12:00,15
206,06:53:00,12:37:00,18:12:00,15
207,06:53:00,12:37:00,18:11:00,15
208,06:54:00,12:37:00,18:10:00,15
209,06:54:00,12:37:00,18:10:00,15
210,06:55:00,12:37:00,18:09:00,15
211,06:56:00,12:37:00,18:08:00,15
212,06:56:00,12:37:00,18:08:00,15
